,Name,Platform,Year,Genre,Publisher,Na Sales,Eu Sales,Jp Sales,Other Sales,Global Sales,Console Type,Console Manufacturer,Console Released,Console Discontinued,Consoles Sold
11145,Fireblade,Xbox,2002,Action,Midway Games,60000.0,20000.0,0.0,0.0,0.08,Home,Microsoft,2001,2009,24000000.0
11146,futureU: The Prep Game for SAT,Nintendo DS,2008,Misc,Aspyr,70000.0,0.0,0.0,10000.0,0.08,Handheld,Nintendo,2004,2013,154020000.0
11147,BioShock The Collection,Xbox One,2016,Shooter,Take-Two Interactive,30000.0,40000.0,0.0,10000.0,0.08,Home,Microsoft,2013,2020,58500000.0
11148,Johnny Test,Nintendo DS,2011,Platform,505 Games,70000.0,0.0,0.0,10000.0,0.08,Handheld,Nintendo,2004,2013,154020000.0
11149,Just Dance: Disney Party 2,Wii U,2015,Action,Ubisoft,60000.0,10000.0,0.0,10000.0,0.08,Home,Nintendo,2012,2017,13560000.0
11150,Tomb Raider: Legend,GameCube,2006,Action,Eidos Interactive,60000.0,20000.0,0.0,0.0,0.08,Home,Nintendo,2001,2007,21740000.0
11151,Boxing Fever,Game Boy Advance,2001,Sports,THQ,60000.0,20000.0,0.0,0.0,0.08,Handheld,Nintendo,2001,2010,81510000.0
11152,RoadKill,Xbox,2003,Action,Midway Games,60000.0,20000.0,0.0,0.0,0.08,Home,Microsoft,2001,2009,24000000.0
11153,Discovery Kids: Spider Quest,Nintendo DS,2009,Misc,505 Games,70000.0,0.0,0.0,10000.0,0.08,Handheld,Nintendo,2004,2013,154020000.0
11154,Valkyrie Drive: Bhikkhuni,PlayStation 5,2015,Action,PQube,0.0,10000.0,70000.0,0.0,0.08,Home,Sony,2020,0,30000000.0
11155,Gintama: Gin-San to Issho! Boku no Kabuki Machi Nikki,PlayStation 2,2007,Action,Namco Bandai Games,0.0,0.0,80000.0,0.0,0.08,Home,Sony,2000,2013,155000000.0
11156,7 Wonders of the Ancient World,PlayStation Portable,2007,Puzzle,Mumbo Jumbo,70000.0,0.0,0.0,10000.0,0.08,Handheld,Sony,2004,2014,82000000.0
11157,New International Track & Field,Nintendo DS,2008,Sports,Konami Digital Entertainment,70000.0,0.0,0.0,10000.0,0.08,Handheld,Nintendo,2004,2013,154020000.0
11158,Indycar Series 2005,Xbox,2004,Action,Codemasters,60000.0,20000.0,0.0,0.0,0.08,Home,Microsoft,2001,2009,24000000.0
